2022-09-22T11:50:24.991+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:26.010+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:27.012+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:28.015+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:29.016+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:30.016+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:31.019+09:00,wkkaj,IdeState,Inactive,,,,,-1,-1,
2022-09-22T11:50:32.021+09:00,wkkaj,IdeState,Active,BinaryMain,Popup,C:/Users/wkkaj/IdeaProjects/BinaryMain/src/main/java/BinaryMain.java,BinaryMain::main,11,29,Default task
2022-09-22T11:50:33.024+09:00,wkkaj,IdeState,Active,BinaryMain,Popup,C:/Users/wkkaj/IdeaProjects/BinaryMain/src/main/java/BinaryMain.java,BinaryMain::main,11,29,Default task
2022-09-22T11:50:33.898+09:00,wkkaj,Action,Roll Tracking Log,,,,,-1,-1,
2022-09-22T11:50:34.027+09:00,wkkaj,IdeState,Active,BinaryMain,Dialog,C:/Users/wkkaj/IdeaProjects/BinaryMain/src/main/java/BinaryMain.java,BinaryMain::main,11,29,Default task
